idx,SQ1_4,SQ1_5,SQ1_6,SQ1_7,SQ1_8,SQ2,SQ3,SQ3_1
10065,1111010900,1111051500,서울특별시,종로구,청운효자동,1,1969,52
10066,4213010700,4213055000,강원도,원주시,단구동,1,1971,50
10070,4137011300,4137055000,경기도,오산시,세마동,2,1988,33
10079,1165010800,1165053000,서울특별시,서초구,서초3동,2,1997,24
10085,2826010700,2826053000,인천광역시,서구,연희동,2,1973,48
10086,1135010500,1135072000,서울특별시,노원구,상계10동,1,1970,51
10087,4833010200,4833051500,경상남도,양산시,양주동,2,1999,22
10088,1130510200,1130560300,서울특별시,강북구,번2동,1,1967,54
10089,4793038022,4793038000,경상북도,울진군,후포면,1,1994,27
10090,1162010200,1162076500,서울특별시,관악구,미성동,1,1974,47
10091,2729010800,2729057700,대구광역시,달서구,이곡2동,2,1989,32
10093,3017011200,3017064000,대전광역시,서구,둔산2동,1,1960,61
10094,4315012000,4315057700,충청북도,제천시,신백동,2,1980,41
10095,4146125022,4146125000,경기도,용인시 처인구,포곡읍,1,1986,35
10096,2823710300,2823758000,인천광역시,부평구,산곡2동,1,1980,41
10097,1123010200,1123053600,서울특별시,동대문구,용신동,1,1971,50
10098,4157010700,4157055000,경기도,김포시,풍무동,1,1981,40
10099,3011011500,3011064000,대전광역시,동구,용전동,1,1985,36
10101,4217010100,4217051000,강원도,동해시,천곡동,2,1981,40
10116,2911011000,2911059000,광주광역시,동구,산수1동,1,1964,57
10124,2638010600,2638060100,부산광역시,사하구,다대제1동,1,1984,37
10125,2729011100,2729057100,대구광역시,달서구,용산1동,2,1966,55
10126,2771025924,2771025900,대구광역시,달성군,유가읍,1,1983,38
10127,4418025021,4418025000,충청남도,보령시,웅천읍,2,1973,48
10128,4117310200,4117355000,경기도,안양시 동안구,관양1동,2,1973,48
10129,4157010900,4157057000,경기도,김포시,구래동,2,1982,39
10130,4729010900,4729054100,경상북도,경산시,서부1동,1,1986,35
10131,1150010400,1150060300,서울특별시,강서구,가양제1동,2,1982,39
10133,1129013800,1129077000,서울특별시,성북구,장위제2동,2,1996,25
10137,2638010600,2638060100,부산광역시,사하구,다대제1동,1,1961,60
10138,5013010200,5013059000,제주특별자치도,서귀포시,대륜동,1,1963,58
10141,4833012000,4833057000,경상남도,양산시,덕계동,2,1965,56
10143,1156012500,1156061000,서울특별시,영등포구,양평제1동,2,1996,25
10145,4812313300,4812355000,경상남도,창원시 성산구,가음정동,2,1971,50
10146,1130510100,1130554500,서울특별시,강북구,송중동,2,1990,31
10147,2811014700,2811062800,인천광역시,중구,운서동,2,1987,34
10149,1171010700,1171063200,서울특별시,송파구,가락2동,1,1973,48
10151,4117310200,4117356600,경기도,안양시 동안구,부림동,1,1985,36
10152,2917010900,2917060200,광주광역시,북구,운암2동,2,1963,58
10153,4785025321,4785025300,경상북도,칠곡군,북삼읍,1,1952,69
10155,4148010800,4148057000,경기도,파주시,운정3동,1,1972,49
10156,4128510400,4128558000,경기도,고양시 일산동구,장항1동,2,1946,75
10159,4729011700,4729052000,경상북도,경산시,중앙동,2,1973,48
10160,4146510100,4146552000,경기도,용인시 수지구,풍덕천2동,2,1976,45
10163,3114010300,3114060000,울산광역시,남구,옥동,2,1993,28
10165,3017011300,3017058700,대전광역시,서구,월평2동,2,1987,34
10167,2632010200,2632054300,부산광역시,북구,화명제3동,2,1983,38
10168,4128510400,4128558000,경기도,고양시 일산동구,장항1동,2,1996,25
10169,2717010300,2717065000,대구광역시,서구,평리4동,2,1983,38
10170,2920011800,2920070000,광주광역시,광산구,신창동,2,1995,26
